"	LoanAmount	CreationDate	fpd_15	data.Request.Input.CB2.MaxDPD	data.Request.Input.CB2.Labelling	data.Request.Input.CB2.CurrentDPD	data.Request.Input.CB2.Outstandingloan	data.Request.Input.CB1.MaxDPD	data.Request.Input.CB1.Labelling	data.Request.Input.CB1.CurrentDPD	data.Request.Input.CB1.Outstandingloan	data.Request.Input.Customer.EducationStatus	data.Request.Input.Customer.TotalExistingExposure	data.Request.Input.Customer.Income.Final	data.Request.Input.Customer.Gender	data.Request.Input.Customer.NumberOfChildren	data.Request.Input.Customer.AddressLGA	data.Request.Input.Customer.Employment.EmployerLGA	data.Request.Input.Customer.Employment.IndustrySector	data.Request.Input.Customer.Employment.BusinessSector	data.Request.Input.Customer.Employment.NumberOfEmployees	data.Request.Input.Customer.DateOfBirth	data.Request.Input.Customer.ResidentialStatus	data.Request.Input.Customer.MaritalStatus	data.Request.Input.Customer.ExistingCustomer	data.Request.Input.Customer.TimeAtAddressMM	data.Request.Input.SalaryService.MonthlyElectricitySpending4	data.Request.Input.SalaryService.MinimumBalance	data.Request.Input.SalaryService.MinimumCredit	data.Request.Input.SalaryService.AvgNumDebitMn	data.Request.Input.SalaryService.MonthlyCashFlow2	data.Request.Input.SalaryService.MonthlyCashFlow3	data.Request.Input.BVN.StateOfOrigin	data.Request.Input.PrevApplication.LoanAmount	data.Request.Input.PrevApplication.LoanTerm	data.Request.Input.PrevApplication.InterestRate	data.Request.Input.Application.RequestedLoanTerm	data.Request.Input.SalaryService.OpeningBalance",,,
"2535	530000.0	2023-02-23	0	0.0	NTC	0.0	90000.0	0.0	Near-Prime	0.0	100000.0	Post Graduate	962000.0	6652000.0	0		Ikeja	Ibeju/Lekki	Home Developers	Wholesale and retail trade	2.0	1996-08-06	Renting	Single	0								Akwa Ibom State				13.0	",,,
"2536	130000.0	2023-04-19	1	0.0	NTC	0.0	0.0	0.0	Near-Prime	0.0	0.0	Graduate	132000.0	1036000.0	1		Ibeju/Lekki	Gwagwalada	Office equipment	Construction		1971-05-09	With Relatives	Single	0								Bayelsa State				12.0	",,,
"2537	170000.0	2023-06-03	0		Near-Prime		0.0	0.0	Prime	0.0	0.0	Graduate	5466000.0	32658000.0	0	0.0	Agege	Bwari	Advertising and market research	Transportation and storage	2.0	1989-09-08	Renting	Single	1	188.0							Plateau State	198000.0	14.0	32.0	12.0	",,,
"2538	190000.0	2023-03-21	1	0.0	NTC	0.0		0.0	Sub-Prime	0.0		Graduate	234000.0	11385000.0	0		Surulere	Epe	Power generation/power plants	Arts"," entertainment and recreation		1999-07-21	Owner	Single	0		0.0	0.0	0.0	40.0	-0.0	0.0	Edo State				7.0	",,
"2539	160000.0	2023-05-17	1		Sub-Prime		0.0	0.0	Near-Prime	0.0	0.0	Graduate	207000.0	1419000.0	0		Ojo	Ibadan Central	Federal(Direct)	Finance	1.0	1985-02-16	With Relatives	Single	0	214.0							Imo State				12.0	",,,
"2540	1410000.0	2023-04-30	0	0.0	NTC	0.0	240000.0	0.0	Sub-Prime	0.0	250000.0	Post Graduate	1668000.0	10958000.0	1	0.0	Kuje	Mushin	Fishing	General	0.0	1998-11-10	With Friends	Married	1	169.0	14900.0	0.0	100.0	140.0	-182000.0	135000.0	Kaduna State	238000.0	3.0	21.0	10.0	",,,
"2541	180000.0	2023-04-18	1	0.0	NTC	0.0			Sub-Prime			Graduate	356000.0	2783000.0	0	5.0	Bwari	Port-Harcourt	Religious bodies	Agriculture	12.0	1988-03-26	Renting	Married	0	74.0							Kano State				11.0	",,,
"2542	950000.0	2023-04-12	0	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Primary	3363000.0	73662000.0	0		Bwari	Ibeju/Lekki	Coal"," Lignite and Metal Ores	Agriculture		1985-04-30	With Friends	Widowed	0								Cross River State				14.0	",,
"2543	160000.0	2023-05-11	0	0.0	Near-Prime	0.0	100000.0	0.0	Prime	0.0	0.0	Post Graduate	296000.0	1869000.0	0		Abeokuta North	Ibadan North West	Chemicals and chemical products	Administrative and support service activities		1986-06-22	With Relatives	Single	1	126.0							Kogi State	243000.0	11.0	8.0	10.0	",,,
"2544	230000.0	2023-07-01	1		Near-Prime		0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	763000.0	4958000.0	0		Abuja Municipal	Shagamu	Other business support activities	Mining and Quarrying	2.0		Renting	Married	0	179.0							Akwa Ibom State				12.0	",,,
"2545	170000.0	2023-03-27	1	0.0	NTC	0.0		0.0	Near-Prime	0.0	10000.0	Post Graduate	234000.0	1010000.0	1		Ijebu Ode	Kosofe	Apparel Retail	Construction		1997-10-26	Renting	Married	0								Jigawa State				3.0	",,,
"2546	1500000.0	2023-01-16	0	0.0	NTC	0.0	0.0	0.0	NTC	0.0	0.0	HND	2767000.0	8614000.0	0		Port Harcourt	Shagamu	Leather and related products	Consumer Goods	2.0	1989-10-02	Owner	Married	0		0.0	7600.0	100.0	20.0	313000.0	-61000.0	Plateau State				31.0	",,,
"2547	130000.0	2023-02-24	1	0.0	Sub-Prime	0.0		0.0	Sub-Prime	0.0		Graduate	131000.0	1654000.0	0	1.0	Bwari	Port Harcourt	Confectionaries	Online	11.0	1987-04-13	With Relatives	Married	1	107.0	0.0	100.0	0.0	140.0	0.0	-0.0	Zamfara State	86000.0	11.0	6.0	13.0	",,,
"2548	190000.0	2023-06-24	1		Near-Prime		0.0	0.0	Prime	0.0	0.0	Post Graduate	192000.0	1007000.0	1		Eleme	Ifako-Ijaye	Transport-related services	Online		1994-07-07	With Friends	Divorced	0								Katsina State				17.0	",,,
"2549	840000.0	2023-10-30	0		Near-Prime		0.0		Prime		0.0	Graduate	1080000.0	4042000.0	0		Ojo	Ibadan Central	Electronics	Services		1992-06-24	Renting	Married	0								Ondo State				16.0	",,,
"2550	5660000.0	2023-07-29	0		Near-Prime		0.0	0.0	NTC	0.0	0.0	Post Graduate	5770000.0	74823000.0	0		Ifako-Ijaye	Akure North	Employment activities	Professional"," scientific and technical activities	5.0	1980-10-21	With Friends	Single	0								Kano State				17.0	",,
"2551	170000.0	2023-05-15	0	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	181000.0	1848000.0	0		Shagamu	Ikeja	Fishing	Real estate activities	4.0	1985-12-03	With Friends	Married	1		16500.0	500.0	0.0	200.0	-7000.0	-92000.0	Ogun State	468000.0	16.0	13.0	10.0	",,,
"2552	170000.0	2023-05-28	1	0.0	NTC	0.0	20000.0	0.0	Prime	0.0	0.0	Post Graduate	181000.0	1664000.0	0		Mushin	Port-Harcourt	Telecommunications	Non-Governmental Organization		1995-06-08	Renting	Widowed	0								Nasarawa State				14.0	",,,
"2553	2190000.0	2023-02-03	1	0.0	Near-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	2827000.0	95880000.0	0	2.0	Gwagwalada	Ibadan North West	Restaurant	Finance		1982-01-14	Renting	Divorced	1	91.0	135700.0	400.0	0.0	140.0	-879000.0	1246000.0	Niger State	1104000.0	9.0	4.0	36.0	",,,
"2554	130000.0	2023-04-09	0	0.0	Sub-Prime	0.0	10000.0	0.0	Sub-Prime	0.0	30000.0	Post Graduate	175000.0	1311000.0	1		Ojo	Ibadan Central	Tertiary Education	Services		1991-02-20	Owner	Single	0								kaduna State				12.0	",,,
"2555	2020000.0	2023-08-02	0	0.0	Sub-Prime	0.0	640000.0	0.0	Prime	0.0	720000.0	Secondary	1771000.0	10857000.0	1		Kwali	Akure North	Electronics	Education	2.0	1993-06-13	Renting	Married	0		0.0	2200.0	200.0	80.0	467000.0	91000.0	Kogi State				13.0	232000.0",,,
"2556	4090000.0	2023-08-29	0		Sub-Prime		0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	3719000.0	21026000.0	0		Shagamu	Ojo	Coal"," Lignite and Metal Ores	Utilities	3.0	1984-06-25	With Relatives	Single	0								Cross River State				19.0	",,
"2557	1670000.0	2023-03-29	0	75.0	Sub-Prime	0.0	710000.0	0.0	Prime	0.0	720000.0	Graduate	1493000.0	10722000.0	1		Ikeja	Port-Harcourt	Apparel Retail	Agriculture		1987-05-02	Owner	Widowed	1								ABIA State	2478000.0	22.0	9.0	12.0	",,,
"2558	100000.0	2023-05-17	0	0.0	Prime	0.0	0.0	0.0	NTC	0.0	0.0	Graduate	241000.0	1749000.0	0		Ifako-Ijaye	Ifo	Religious bodies	Education	0.0	1982-08-11	With Relatives	Married	0	9.0							ABIA State				12.0	",,,
"2559	730000.0	2023-03-03	0	0.0	NTC	0.0	780000.0	0.0	Sub-Prime	0.0	0.0	Secondary	797000.0	7052000.0	0	1.0	Abeokuta South	Shagamu	Oil - downstream	Agriculture	5.0	1994-03-14	Owner	Single	1	93.0	0.0	0.0	0.0	350.0	60000.0	-49000.0	Yobe State	106000.0	10.0	26.0	13.0	",,,
"2560	3550000.0	2023-09-09	0	0.0	Near-Prime	0.0	0.0		Sub-Prime		0.0	Graduate	4036000.0	47042000.0	0		Epe	Oshodi-Isolo	Other manufacturing	Online	2.0	1994-07-01	Renting	Divorced	1								Kebbi State	2556000.0	13.0	11.0	12.0	",,,
"2561	370000.0	2023-06-24	0	0.0	Sub-Prime	0.0	60000.0		Prime		0.0	Post Graduate	363000.0	1845000.0	1		Apapa	Abeokuta South	Transport related	Arts"," entertainment and recreation		1985-05-24	Owner	Single	0								Ondo State				15.0	",,
"2562	860000.0	2023-06-12	0	0.0	Prime	0.0	90000.0	0.0	NTC	0.0	0.0	Primary	1006000.0	3906000.0	0	0.0	Shagamu	Ikeja	Warehousing and support activities	Waste Management Activities	1.0	1992-08-12	With Friends	Single	1	29.0							LAGOS State	748000.0	13.0	11.0	14.0	",,,
"2563	2880000.0	2023-04-24	0	0.0	Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	HND	2498000.0	31263000.0	0		Ikeja	Ibeju/Lekki	Other business support activities	General		1992-10-31	Renting	Single	0								kaduna State				14.0	",,,
"2564	3550000.0	2023-03-13	0	0.0	Near-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	2590000.0	55786000.0	1		Shomolu	Shagamu	Home Developers	Transportation and storage	17.0	1995-11-24	With Relatives	Divorced	0		0.0	1200.0	0.0	680.0	78000.0	27000.0	OSUN State				10.0	",,,
"2565	160000.0	2023-06-05	1	0.0	Sub-Prime	0.0	0.0	0.0	NTC	0.0	0.0	Graduate	356000.0	2448000.0	0		Eti-Osa	Oshodi-Isolo	Office equipment	Consumer Goods	3.0	1996-02-09	Renting	Single	1								Ebonyi State	229000.0	10.0	32.0	14.0	",,,
"2566	5930000.0	2023-08-16	0		Sub-Prime		0.0	0.0	NTC	0.0	0.0	Graduate	5068000.0	32413000.0	0		Shomolu	Abeokuta North	Apparel Retail	Oil and Gas		1995-05-17	With Friends	Divorced	0								Enugu State				13.0	",,,
"2567	2570000.0	2023-09-30	0	0.0	Sub-Prime	0.0	0.0		Sub-Prime		0.0	Graduate	2683000.0	20524000.0	0		Oshodi-Isolo	Port Harcourt	Merchant Banks and Other Wealth Management institutions	Wholesale and retail trade		1991-01-17	Renting	Divorced	0								Borno State				14.0	",,,
"2568	200000.0	2023-06-15	1		Prime		0.0	0.0	Sub-Prime	0.0	0.0	Secondary	322000.0	1625000.0	0		Alimosho	Abeokuta North	Transactions	Government		1987-06-15	With Relatives	Divorced	0								Ogun State				14.0	",,,
"2569	790000.0	2023-04-14	0	8.0	Sub-Prime	0.0	200000.0	0.0	Near-Prime	0.0	0.0	Secondary	899000.0	68893000.0	0	1.0	Surulere	Egbeda	Multilateral Development Agencies (MDA)	Transportation and storage	1.0	1986-11-15	With Relatives	Married	1	176.0	31200.0	-219400.0	0.0	500.0	-28000.0	-304000.0	Jigawa State	1686000.0	24.0	12.0	11.0	",,,
"2570	2610000.0	2023-09-29	0		NTC		0.0		Prime		0.0	Secondary	2513000.0	14387000.0	0		Bwari	Obafemi-Owode	Other manufacturing	Finance		1986-10-11	Owner	Married	0								Kano State				16.0	",,,
"2571	90000.0	2023-04-23	1	0.0	NTC	0.0	60000.0		Near-Prime			Graduate	94000.0	904000.0	0		Bwari	Ojo	Power distribution	Consumer Goods	8.0	1999-07-11	Owner	Married	0	46.0	0.0	0.0	0.0	80.0	-6000.0	6000.0	Ogun State				12.0	",,,
"2572	150000.0	2023-06-14	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	182000.0	903000.0	0		Eti-Osa	Alimosho	Home Developers	Services		1995-05-11	Renting	Divorced	0								Niger State				18.0	",,,
"2573	280000.0	2023-04-15	0	0.0	Sub-Prime	0.0			NTC			HND	315000.0	507000.0	0		Bwari	Ibadan Central	Air transport	Waste Management Activities		1993-10-09	Owner	Married	0		0.0	3400.0	100.0	240.0	153000.0	-66000.0	Kano State				12.0	",,,
"2574	200000.0	2023-06-19	1	0.0	Sub-Prime	0.0	0.0	0.0	Prime	0.0	20000.0	Primary	244000.0	1784000.0	0		Apapa	Ikenne	Water collection"," treatment and supply	Waste Management Activities		1991-07-01	With Relatives	Divorced	0								Kogi State				14.0	",,
"2575	160000.0	2023-03-12	1	435.0	NTC	435.0	210000.0	360.0	Sub-Prime	0.0	10000.0	Post Graduate	399000.0	2538000.0	1		Eti-Osa	Kosofe	Pensions Fund Administration and Custodians	Real estate activities	3.0		Renting	Widowed	0								ABIA State				10.0	",,,
"2576	200000.0	2023-06-09	1		Near-Prime		0.0	0.0	Prime	0.0	0.0	Graduate	190000.0	853000.0	0		Alimosho	Eleme	Warehousing and support activities	Oil and Gas	0.0	1999-06-16	With Friends	Widowed	0								Cross River State				18.0	",,,
"2577	2860000.0	2023-07-06	0	0.0	NTC	0.0	0.0		Sub-Prime		0.0	Post Graduate	2958000.0	15170000.0	0		Ifako-Ijaye	Agege	Educational support services	Administrative and support service activities	4.0	1991-05-14	Renting	Married	0	29.0							Gombe State				13.0	",,,
"2578	180000.0	2023-05-09	1	180.0	Prime	0.0	0.0	332.0	Near-Prime	332.0	0.0	Post Graduate	284000.0	1546000.0	1		Ojo	Ijebu Ode	Programming and broadcasting activities	Consumer Goods	0.0	1999-05-05	Owner	Widowed	0		0.0	100.0	100.0	80.0	-9000.0	7000.0	Kogi State				15.0	1000.0",,,
"2579	190000.0	2023-05-23	1		NTC				Near-Prime			Graduate	1488000.0	9316000.0	0		Ijebu North	Eti-Osa	Gasoline stations	Consumer Goods		1988-06-04	Owner	Married	0								Kogi State				14.0	",,,
"2580	5790000.0	2023-06-04	0		NTC		0.0	0.0	Sub-Prime	0.0	150000.0	Post Graduate	5510000.0	33453000.0	0	1.0	Lagos Mainland	Ikwerre	Telecommunications	Agriculture	6.0		With Relatives	Divorced	0	9.0							Delta State				13.0	",,,
"2581	170000.0	2023-02-08	1	151.0	NTC	0.0	610000.0	0.0	Near-Prime	0.0	520000.0	Graduate	1018000.0	6486000.0	1		Apapa	Gwagwalada	Confectionaries	Industrial Goods		1995-11-18	Owner	Widowed	0								Kano State				3.0	",,,
"2582	890000.0	2023-09-19	0		NTC		0.0		Near-Prime		0.0	Graduate	897000.0	4904000.0	0		Mushin	Abeokuta North	Home Developers	Online	1.0	1992-12-20	With Relatives	Single	0								Cross River State				16.0	",,,
"2583	3290000.0	2023-05-18	0		Sub-Prime			962.0	Near-Prime	962.0	1790000.0	Graduate	3260000.0	16582000.0	0	2.0	Agege	Ikenne	Computer programming"," consultancy and related activities	Online	6.0	1978-03-07	Renting	Divorced	1	94.0							Delta State	3159000.0	27.0	10.0	11.0	",,
"2584	170000.0	2023-05-29	1		Sub-Prime		0.0	0.0	Near-Prime	0.0	0.0	Primary	162000.0	983000.0	0		Lagos Mainland	Ibadan Central	Plantation	Extraterritorial organizations	1.0	1998-09-16	Renting	Widowed	0		0.0	200.0	0.0	10.0	-9000.0	10000.0	Kogi State				18.0	0.0",,,
"2585	5900000.0	2023-11-06	0	0.0	NTC	0.0	1190000.0	0.0	Near-Prime	0.0	1210000.0	Graduate	5173000.0	2189272000.0	1	2.0	Shomolu	Ikenne	Furniture	Professional"," scientific and technical activities	2.0		With Relatives	Divorced	1	68.0							Jigawa State	2155000.0	24.0	11.0	18.0	",,
"2586	150000.0	2023-05-26	1	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	118000.0	1138000.0	1		Surulere	Port Harcourt	Fishing	Utilities		1991-01-11	Renting	Widowed	0								Delta State				13.0	",,,
"2587	220000.0	2023-05-19	1	0.0	Sub-Prime	0.0	50000.0	0.0	NTC	0.0	0.0	Post Graduate	299000.0	1745000.0	0		Surulere	Ibeju/Lekki	Coal"," Lignite and Metal Ores	Services	3.0	1981-12-18	With Relatives	Divorced	0	319.0							Cross River State				16.0	",,
"2588	1850000.0	2023-09-06	0	0.0	Near-Prime	0.0	1870000.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	2025000.0	10180000.0	0	0.0	Ijebu North	Gwagwalada	Building materials	Information and communication	3.0	2000-10-31	Renting	Single	1	107.0		-229500.0	0.0	160.0			Plateau State	1061000.0	15.0	12.0	15.0	260000.0",,,
"2589	1460000.0	2023-05-14	0	0.0	Sub-Prime	0.0	170000.0	180.0	Near-Prime	180.0	290000.0	Secondary	2536000.0	20057000.0	0		Ijebu Ode	Mushin	Oil - downstream	Oil and Gas	6.0	1972-10-01	With Friends	Widowed	0								Kwara State				11.0	",,,
"2590	1070000.0	2023-07-25	0		NTC		0.0	0.0	Prime	0.0	0.0	Graduate	1125000.0	4984000.0	0		Shagamu	Bwari	Charity	Wholesale and retail trade	2.0	1982-10-07	With Relatives	Widowed	0		1308200.0	-376400.0	100.0	140.0	-864000.0	314000.0	Edo State				16.0	11000.0",,,
"2591	140000.0	2023-05-18	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	132000.0	725000.0	0		Abuja Municipal	Kwali	Creative arts and entertainment activities	Consumer Goods		2000-09-12	With Relatives	Married	0								OYO State				18.0	",,,
"2592	170000.0	2023-06-13	1	360.0	NTC	0.0	0.0		Prime		0.0	Graduate	5896000.0	50117000.0	0		Eleme	Ikwerre	Fishing	General		1984-06-09	With Relatives	Widowed	0								Kano State				10.0	",,,
"2593	120000.0	2023-05-19	1	0.0	Prime	0.0			Sub-Prime			Post Graduate	140000.0	1641000.0	0		Port Harcourt	Kosofe	Waste collection"," treatment and supply	Online	0.0	1997-01-25	With Relatives	Divorced	1	29.0	0.0	0.0	100.0	250.0	-10000.0	-44000.0	kaduna State	345000.0	21.0	11.0	11.0	",,
"2594	200000.0	2023-04-30	0		NTC			0.0	Sub-Prime	0.0		Graduate	452000.0	3432000.0	1		Abeokuta North	Obafemi-Owode	Furniture	Construction		1994-07-08	With Relatives	Single	0								kaduna State				11.0	",,,
"2595	110000.0	2023-02-06	1	994.0	NTC	994.0	860000.0	0.0	NTC	0.0	10000.0	Graduate	111000.0	800000.0	1		Eti-Osa	Ibeju/Lekki	Educational support services	Online	3.0	1975-02-01	With Relatives	Widowed	1	3.0		1000.0	0.0	110.0			IMO State	119000.0	55.0	14.0	2.0	",,,
"2596	120000.0	2023-06-21	0		Sub-Prime		0.0	0.0	Near-Prime	0.0	0.0	Graduate	125000.0	4852000.0	1		Ifo	Ibadan Central	Wholesale trade	Waste Management Activities	2.0	1992-02-11	With Relatives	Married	1		0.0	100.0	1100.0	30.0	-128000.0	125000.0	Adamawa State	265000.0	12.0	17.0	17.0	7000.0",,,
"2597	180000.0	2023-05-18	1		Prime		0.0	0.0	Near-Prime	0.0	0.0	Graduate	217000.0	1153000.0	0		Agege	Gwagwalada	Transport-related services	Government	2.0	2000-01-21	Renting	Widowed	0								Akwa Ibom State				14.0	",,,
"2598	830000.0	2023-04-07	0	0.0	Near-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	908000.0	6636000.0	0	2.0	Ojo	Ojo	Advertising and market research	Extraterritorial organizations	2.0	1984-06-06	Owner	Widowed	1	0.0							Kano State	178000.0	26.0	10.0	12.0	",,,
"2599	2800000.0	2023-09-16	0		NTC		0.0		Near-Prime		0.0	Secondary	2036000.0	13164000.0	0		Lagos Mainland	Oshodi-Isolo	Courier/freight/delivery	Administrative and support service activities		1995-11-15	With Relatives	Divorced	0								Delta State				17.0	",,,
"2600	2080000.0	2023-11-08	0	0.0	NTC	0.0	90000.0	30.0	Prime	30.0	180000.0	Graduate	2077000.0	545000.0	0		Ifako-Ijaye	Oshodi-Isolo	Religious bodies	Services		1984-05-12	With Friends	Married	0	108.0	0.0	100.0	0.0	420.0	445000.0	-267000.0	Enugu State				3.0	1041000.0",,,
"2601	90000.0	2023-04-03	0	0.0	Near-Prime	0.0		0.0	Sub-Prime	0.0	0.0	Graduate	148000.0	378000.0	1		Ifo	Ijebu Ode	Confectionaries	Waste Management Activities		1975-01-28	Renting	Widowed	1		0.0	100.0	100.0	100.0	15000.0	9000.0	Kano State	95000.0	3.0	32.0	22.0	",,,
"2602	180000.0	2023-05-25	1	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	HND	288000.0	1371000.0	0		Ijebu Ode	Ikeja	Transport related	Administrative and support service activities	2.0	1986-05-08	With Friends	Married	1								Bauchi State	197000.0	13.0	25.0	15.0	",,,
"2603	180000.0	2023-06-08	0	0.0	Prime	0.0	0.0	0.0	Sub-Prime	0.0	420000.0	Post Graduate	213000.0	1037000.0	1		Ifako-Ijaye	Ibadan Central	Non-metallic mineral products	Natural Resources		1993-06-17	Renting	Married	0								Edo State				19.0	",,,
"2604	180000.0	2023-03-13	0	0.0	NTC	0.0	540000.0	0.0	Near-Prime	0.0	40000.0	Post Graduate	252000.0	1556000.0	0	0.0	Ijebu North	Ibadan Central	Residential care activities	Education	2.0	1989-12-20	With Friends	Married	1	67.0							Ebonyi State	444000.0	26.0	10.0	21.0	",,,
"2605	3550000.0	2023-09-05	0		NTC		0.0	0.0	Sub-Prime	0.0	0.0	Primary	5071000.0	36549000.0	0	3.0	Ifako-Ijaye	Epe	Leather and related products	Extraterritorial organizations	4.0	1971-05-27	With Friends	Widowed	1	237.0							ABIA State	1875000.0	14.0	11.0	16.0	",,,
"2606	90000.0	2023-05-06	1	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Primary	100000.0	830000.0	0		Ifako-Ijaye	Kosofe	Courier/freight/delivery	Utilities	5.0	1991-10-31	With Relatives	Widowed	0								Gombe State				13.0	",,,
"2607	160000.0	2023-05-06	0	0.0	Near-Prime	0.0	70000.0	0.0	Sub-Prime	0.0	0.0	Graduate	3435000.0	19385000.0	0		Eti-Osa	Abeokuta North	Motor vehicles	Administrative and support service activities		1988-04-26	With Friends	Married	0								Ondo State				12.0	",,,
"2608	1090000.0	2023-04-27	0	84.0	NTC	0.0	710000.0		NTC			Post Graduate	3000000.0	143748000.0	0		Abeokuta South	Eleme	Transport related	Human health and social work activities	1.0	1987-11-13	With Relatives	Married	0	112.0							Katsina State				13.0	",,,
"2609	140000.0	2023-05-25	1	0.0	NTC	0.0	0.0	0.0	Prime	0.0	0.0	Graduate	146000.0	588000.0	1		Ifako-Ijaye	Port-Harcourt	Water transport	Transportation and storage	0.0	1998-03-10	With Friends	Married	0								Kebbi State				19.0	",,,
"2610	5820000.0	2023-07-14	0	0.0	NTC	0.0	0.0		NTC		0.0	Graduate	4307000.0	27516000.0	0		Kuje	Ado-Odo/Ota	Merchant Banks and Other Wealth Management institutions	Wholesale and retail trade		1992-01-26	With Friends	Married	0								Kebbi State				13.0	",,,
"2611	190000.0	2023-05-29	0	0.0	NTC	0.0	1510000.0	0.0	Sub-Prime	0.0	2340000.0	Graduate	837000.0	26391000.0	1	0.0	Kwali	Badagry	Apparel Retail	Administrative and support service activities	3.0	1993-04-04	With Relatives	Married	1	53.0							Bauchi State	1026000.0	17.0	9.0	13.0	",,,
"2612	2310000.0	2023-07-16	1	0.0	NTC	0.0	0.0		Near-Prime		0.0	Graduate	2430000.0	10002000.0	0		Oshodi-Isolo	Mushin	Others	Information and communication		1993-05-31	Owner	Single	0								LAGOS State				18.0	",,,
"2613	2140000.0	2023-03-24	1	0.0	NTC	0.0		0.0	Sub-Prime	0.0	140000.0	Primary	3075000.0	24743000.0	1		Mushin	Ojo	Hotel and leisure	Arts"," entertainment and recreation	2.0	1993-09-01	With Relatives	Married	0								Jigawa State				26.0	",,
"2614	980000.0	2023-06-09	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	1049000.0	3607000.0	0		Kosofe	Bwari	Waste collection"," treatment and supply	Utilities		1992-11-05	Renting	Married	0								Adamawa State				19.0	",,
"2615	2200000.0	2023-03-07	1	17.0	Near-Prime	0.0	1690000.0	0.0	Sub-Prime	0.0	0.0	Graduate	1663000.0	4207000.0	0	1.0	Shomolu	Oshodi-Isolo	Residential care activities	Real estate activities	7.0	1993-12-31	With Friends	Married	1	420.0	0.0	0.0	0.0	230.0	-1224000.0	1546000.0	Ondo State	2704000.0	8.0	11.0	37.0	",,,
"2616	4600000.0	2023-05-27	0	0.0	Sub-Prime	0.0	0.0	0.0	Prime	0.0	0.0	Graduate	4660000.0	23258000.0	0		Ifo	Ibadan Central	Wood and related products	Transportation and storage	4.0	1993-07-25	With Friends	Widowed	0		5171900.0	0.0	0.0	60.0	72000.0	-194000.0	Jigawa State				16.0	21000.0",,,
"2617	4580000.0	2023-07-20	0		Near-Prime		0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	5240000.0	29215000.0	1		Shomolu	Kosofe	Creative arts and entertainment activities	Construction		1978-10-16	With Relatives	Married	0		0.0	1400.0	0.0	210.0	-99000.0	-107000.0	Delta State				18.0	90000.0",,,
"2618	960000.0	2023-09-26	0		Near-Prime		0.0	0.0	Near-Prime	0.0	0.0	Secondary	2217000.0	21265000.0	1		Bwari	Apapa	Other Manufacturing	Consumer Goods		1998-08-15	Renting	Single	0								LAGOS State				11.0	",,,
"2619	3520000.0	2023-08-02	1	0.0	Sub-Prime	0.0	0.0		Sub-Prime		0.0	Post Graduate	4499000.0	57498000.0	0		Surulere	Kuje	Information service activities	Oil and Gas		2000-04-17	With Friends	Married	0								Abia State				15.0	",,,
"2620	140000.0	2023-06-05	1	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	150000.0	936000.0	0		Apapa	Bwari	Transport related	Industrial Goods		1989-04-04	Owner	Widowed	0								DELTA State				11.0	",,,
"2621	170000.0	2023-03-19	1	78.0	Near-Prime	0.0	320000.0	0.0	Prime	0.0	0.0	Graduate	236000.0	1703000.0	1	0.0	Ijebu Ode	Ibadan Central	Creative arts and entertainment activities	Real estate activities	1.0	1993-09-06	Renting	Widowed	1	140.0							Kogi State	166000.0	25.0	28.0	12.0	",,,
"2622	2260000.0	2023-07-13	0		NTC		0.0	0.0	Near-Prime	0.0	0.0	Graduate	5904000.0	46261000.0	0		Kosofe	Bwari	Architectural and engineering activities	Waste Management Activities		1978-12-20	With Friends	Widowed	0								Abia State				14.0	",,,
"2623	2740000.0	2023-03-06	1	0.0	NTC	0.0	0.0	0.0	Near-Prime	0.0		HND	3539000.0	33581000.0	0		Kuje	Gwagwalada	Warehousing and support activities	Mining and Quarrying		1976-09-08	With Friends	Divorced	1		0.0	-100.0	100.0	140.0	26000.0	-92000.0	Bayelsa State	1228000.0	21.0	9.0	26.0	",,,
"2624	220000.0	2023-04-10	1	0.0	NTC	0.0	0.0		Near-Prime			Post Graduate	346000.0	1977000.0	0		Ijebu Ode	Kuje	Remediation activities	Agriculture	8.0	1995-03-17	Renting	Married	0	31.0							Edo State				10.0	",,,
